state,billID,link,year,title,status,lastAction,author,topics,summary
AL,AL H    6,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H6&ciq=ncsl&client_md=f409ee45cabb249f31698986e487de15&mode=current_text,2021,Law Enforcement Recordings,Pending - House Judiciary Committee,2/2/2021,"['Givan (D)', 'Daniels (D)']",['Technology'],"Relates to law enforcement, recordings, procedure to determine to whom and what portion of a recording to disclose or release established."
AL,AL H    13,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H13&ciq=ncsl&client_md=4c1cf66c885b9e453476e30c6623a3c4&mode=current_text,2021,Crimes and Offenses,Pending - HOUSE,2/2/2021,['Reynolds (R)'],['Other Issues'],"Concerns crimes and offenses, relates to crimes motivated by race, color, religion, national origin, ethnicity, or physical or mental disability, includes employment as a law enforcement officer within the protected class."
AL,AL S    14,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000S14&ciq=ncsl&client_md=61ea3e034c57aaf7ad75532d016c0199&mode=current_text,2021,Law Enforcement Officers,Pending - Senate Governmental Affairs Committee,2/2/2021,['Jones (R)'],"['Training', ' Policing Alternatives and Collaboration']","Relates to law enforcement officers, requires the Alabama Peace Officers' Standards and Training Commission to provide a mandatory Mental Health Awareness/Crisis Intervention Training program for existing law enforcement officers and certain trainees under certain conditions."
AL,AL H    16,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H16&ciq=ncsl&client_md=cc5282494acc40808fd442b4bd19e877&mode=current_text,2021,Crisis Intervention Training,Pending - HOUSE,2/2/2021,['Reynolds (R)'],"['Training', ' Policing Alternatives and Collaboration', ' Certification']","Concerns law enforcement officers, requires officers to have not less than 16 hours of crisis intervention training."
AL,AL S    33,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000S33&ciq=ncsl&client_md=2af147fceb01c9fdf35d81175b8899ef&mode=current_text,2021,Voter Registration Lists,Pending - Senate Governmental Affairs Committee,2/2/2021,['Coleman-Madison (D)'],['Officer Safety and Wellbeing'],"Relates to voter registration lists, permits a registered voter or the spouse of a registered voter, who is a federal or state prosecutor, federal, state, probate, or municipal judge, or law enforcement officer, to submit a signed written affidavit requesting that the Secretary of State omit all information except the name of the registered voter or the spouse of the registered voter."
AL,AL S    59,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000S59&ciq=ncsl&client_md=3e9f24139e0598bf96bcfe1aca43c796&mode=current_text,2021,Municipalities and Law Enforcement,Pending - Concurrence,4/29/2021,['Melson (R)'],['Policing Alternatives and Collaboration'],"Relates to municipalities, amends Section 11-45-9.1, Code of Alabama 1975, provides that a municipality may authorize a law enforcement officer to issue a summons and complaint in lieu of custodial arrest for certain criminal offenses, in connection therewith would have as its purpose or effect the requirement of a new or increased expenditure of local funds within the meaning of Amendment 621 of the Constitution of Alabama of 1901."
AL,AL S    67,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000S67&ciq=ncsl&client_md=d945c056dba2048ab09d1fd172c4e448&mode=current_text,2021,Law Enforcement Officer Applicants Education,Pending - House State Government Committee,2/2/2021,['Shelnutt (R)'],['Certification'],"Amends Section 36-21-46, Code of Alabama 1975, relating to the Peace Officers' Standards and Training Commission, provides that graduation from a nonpublic education program satisfies the education component for an applicant to become a law enforcement officer in the state."
AL,AL H    75,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H75&ciq=ncsl&client_md=84958a52c1530503296e01f98ca239ce&mode=current_text,2021,Law Enforcement Officers Training,Pending - House Public Safety and Homeland Security Committee,2/2/2021,['Hill J (R)'],"['Training', ' Policing Alternatives and Collaboration', ' Certification']","Relates to law enforcement officers, requires the Alabama Peace Officers Standards and Training Commission to provide a mandatory crisis intervention training program for existing law enforcement officers and certain trainees under certain conditions."
AL,AL S    91,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000S91&ciq=ncsl&client_md=4e8f0b56b3a64dd508db015be4c4201c&mode=current_text,2021,Law Enforcement Traffic Stops and Racial Profiling,Pending - House Public Safety and Homeland Security Committee,2/2/2021,['Smitherman (D)'],"['Investigations and Discipline', ' Data and Transparency', ' Standards']","Relates to traffic stops and state and local law enforcement officers, prohibits a law enforcement officer from engaging in racial profiling, requires adoption of written policies and the forms to be used for statistics on traffic stops, provides for complaints, requires reports to be filed in the Office of the Attorney General, provides for the reporting and collection of data on injuries to state and local law enforcement officers, connections therewith to have as its purpose or effect the requirement."
AL,AL H    123,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H123&ciq=ncsl&client_md=f804d10dba2b4f6fc9d37b0e1aec43db&mode=current_text,2021,Voter Registration Lists,To Governor - To Governor,4/20/2021,['Faulkner (R)'],['Officer Safety and Wellbeing'],"Relates to voter registration lists, amends Section 17-4-33, Code of Alabama 1975, to permit a registered voter or the spouse of a registered voter, who is a federal or state prosecutor, federal, state, probate, or municipal judge, or law enforcement officer, to submit a signed written affidavit requesting that the Secretary of State omit all information except the name of the registered voter or the spouse of the registered voter."
AL,AL H    133,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H133&ciq=ncsl&client_md=2048c2f1e40b04dffd7f4704d874f84b&mode=current_text,2021,Assault Against First Responders and Riots,Pending - House Judiciary Committee,2/2/2021,['Brown C (R)'],['Officer Safety and Wellbeing'],"Relates to crimes and offenses, creates the crimes of assault against a first responder in the first and second degrees, creates the crimes of damaging a public monument in the first and second degrees, amends Sections 13A-11-1, 13A-11-3, 13A-11-4, and 13A-11-70, Code of Alabama 1975, provides further for the crimes of riot and inciting to riot, adds Section 13A-11-3.1 to the Code of Alabama 1975, to create the crime of aggravated riot, amends Section 13A-6-21, Code of Alabama 1975, to provide further."
AL,AL S    158,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000S158&ciq=ncsl&client_md=84e965058c77c521295e38f629381ff0&mode=current_text,2021,Law Enforcement and Information,Pending - HOUSE,2/2/2021,['Smitherman (D)'],"['Employment and Labor', ' Data and Transparency']","Relates to law enforcement, requires the Alabama Peace Officers' Standards and Training Commission to create a database of certain information relating to law enforcement officers, provides that information in the database is confidential, provides for criminal penalties for unauthorized disclosure, requires former law enforcement employers to disclose information to another law enforcement agency for purposes of employment of law enforcement officers, provides immunity for certain disclosures."
AL,AL S    161,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000S161&ciq=ncsl&client_md=440054cfb4da20c9ea09685599cf6ba0&mode=current_text,2021,Sheriff Office,Pending - SENATE,2/2/2021,['Whatley (R)'],['Employment and Labor'],"Sheriff, office vacant or other circumstances, highest ranking deputy to serve, Section 11-5-5 repealed."
